n,np,time_serial_s,time_mpi_max_s,speedup
37,9,0.0,1.3e-05,0.0
37,10,0.0,1.8e-05,0.0
38,1,0.0,2e-06,0.0
38,2,1e-06,5e-06,0.2
38,3,0.0,5e-06,0.0
38,4,1e-06,2e-05,0.05
38,5,0.0,6e-06,0.0
38,6,0.0,9e-06,0.0
38,7,0.0,1.1e-05,0.0
38,8,0.0,1.3e-05,0.0
38,9,0.0,1.3e-05,0.0
38,10,0.0,1.8e-05,0.0
39,1,1e-06,2e-06,0.5
39,2,0.0,5e-06,0.0
39,3,1e-06,8e-06,0.125
39,4,0.0,4e-06,0.0
39,5,0.0,1.1e-05,0.0
39,6,0.0,9e-06,0.0
39,7,0.0,1.2e-05,0.0
39,8,0.0,1.2e-05,0.0
39,9,0.0,1.5e-05,0.0
39,10,1e-06,1.2e-05,0.083
40,1,0.0,4e-06,0.0
40,2,0.0,6e-06,0.0
40,3,1e-06,4e-06,0.25
40,4,0.0,5e-06,0.0
40,5,0.0,8e-06,0.0
40,6,0.0,9e-06,0.0
40,7,0.0,1e-05,0.0
40,8,0.0,1.3e-05,0.0
40,9,0.0,1.1e-05,0.0
40,10,0.0,1.1e-05,0.0
41,1,0.0,2e-06,0.0
41,2,0.0,5e-06,0.0
41,3,0.0,3e-06,0.0
41,4,0.0,5e-06,0.0
41,5,0.0,9e-06,0.0
41,6,0.0,1e-05,0.0
41,7,1e-06,1e-05,0.1
41,8,0.0,1.4e-05,0.0
41,9,0.0,1.2e-05,0.0
41,10,0.0,1.1e-05,0.0
42,1,0.0,2e-06,0.0
42,2,0.0,5e-06,0.0
42,3,0.0,5e-06,0.0
42,4,1e-06,4e-06,0.25
42,5,0.0,9e-06,0.0
42,6,0.0,1.1e-05,0.0
42,7,0.0,9e-06,0.0
42,8,0.0,1e-05,0.0
42,9,0.0,1.3e-05,0.0
42,10,0.0,1.3e-05,0.0
43,1,0.0,2e-06,0.0
43,2,2e-06,6e-06,0.333
43,3,0.0,5e-06,0.0
43,4,1e-06,1.6e-05,0.062
43,5,0.0,1e-05,0.0
43,6,0.0,1.7e-05,0.0
43,7,0.0,1.5e-05,0.0
43,8,1e-06,9e-06,0.111
43,9,0.0,1.2e-05,0.0
43,10,0.0,1.2e-05,0.0
44,1,0.0,2e-06,0.0
44,2,0.0,5e-06,0.0
44,3,0.0,4e-06,0.0
44,4,1e-06,1.3e-05,0.077
44,5,0.0,7e-06,0.0
44,6,0.0,1.1e-05,0.0
44,7,0.0,1.1e-05,0.0
44,8,0.0,1.2e-05,0.0
44,9,0.0,1.1e-05,0.0
44,10,1e-06,1.7e-05,0.059
45,1,0.0,2e-06,0.0
45,2,0.0,4e-06,0.0
45,3,0.0,5e-06,0.0
45,4,0.0,6e-06,0.0
45,5,0.0,9e-06,0.0
45,6,0.0,1.7e-05,0.0
45,7,0.0,1.1e-05,0.0
45,8,0.0,1.5e-05,0.0
45,9,1e-06,1.4e-05,0.071
45,10,0.0,3.1e-05,0.0
46,1,0.0,3e-06,0.0
46,2,0.0,8e-06,0.0
46,3,1e-06,5e-06,0.2
46,4,0.0,5e-06,0.0
46,5,0.0,1e-05,0.0
46,6,0.0,2.1e-05,0.0
46,7,0.0,1e-05,0.0
46,8,1e-06,1.7e-05,0.059
46,9,0.0,1.3e-05,0.0
46,10,0.0,1.3e-05,0.0
47,1,0.0,2e-06,0.0
47,2,0.0,5e-06,0.0
47,3,0.0,5e-06,0.0
47,4,0.0,9e-06,0.0
47,5,0.0,9e-06,0.0
47,6,0.0,1e-05,0.0
47,7,0.0,1.1e-05,0.0
47,8,0.0,2.4e-05,0.0
47,9,1e-06,1.6e-05,0.063
47,10,0.0,1.7e-05,0.0
48,1,0.0,3e-06,0.0
48,2,1e-06,7e-06,0.143
48,3,0.0,4e-06,0.0
48,4,0.0,1.2e-05,0.0
48,5,0.0,5e-06,0.0
48,6,0.0,1.2e-05,0.0
48,7,0.0,8e-06,0.0
48,8,0.0,1e-05,0.0
48,9,0.0,1e-05,0.0
48,10,1e-06,1.9e-05,0.053
49,1,0.0,3e-06,0.0
49,2,0.0,4e-06,0.0
49,3,1e-06,1e-05,0.1
49,4,0.0,5e-06,0.0
49,5,0.0,6e-06,0.0
49,6,0.0,1.1e-05,0.0
49,7,1e-06,9e-06,0.111
49,8,0.0,1.2e-05,0.0
49,9,0.0,1.2e-05,0.0
49,10,0.0,1.5e-05,0.0
50,1,0.0,3e-06,0.0
50,2,0.0,5e-06,0.0
50,3,1e-06,5e-06,0.2
50,4,0.0,5e-06,0.0
50,5,0.0,6e-06,0.0
50,6,1e-06,9e-06,0.111
50,7,0.0,1e-05,0.0
50,8,1e-06,1e-05,0.1
50,9,0.0,1.4e-05,0.0
50,10,0.0,1.4e-05,0.0
51,1,0.0,3e-06,0.0
51,2,0.0,7e-06,0.0
51,3,0.0,4e-06,0.0
51,4,0.0,4e-06,0.0
51,5,0.0,9e-06,0.0
51,6,0.0,1.1e-05,0.0
51,7,1e-06,1.1e-05,0.091
51,8,0.0,1e-05,0.0
51,9,1e-06,1.3e-05,0.077
51,10,0.0,1.5e-05,0.0
52,1,1e-06,2e-06,0.5
52,2,0.0,5e-06,0.0
52,3,0.0,5e-06,0.0
52,4,1e-06,5e-06,0.2
52,5,0.0,6e-06,0.0
52,6,0.0,1.2e-05,0.0
52,7,0.0,1e-05,0.0
52,8,0.0,1.5e-05,0.0
52,9,0.0,1.4e-05,0.0
52,10,0.0,1.3e-05,0.0
53,1,0.0,2e-06,0.0
53,2,0.0,7e-06,0.0
53,3,0.0,5e-06,0.0
53,4,1e-06,6e-06,0.167
53,5,0.0,5e-06,0.0
53,6,0.0,1.1e-05,0.0
53,7,0.0,1.1e-05,0.0
53,8,0.0,1.5e-05,0.0
53,9,0.0,1.4e-05,0.0
53,10,0.0,1.3e-05,0.0
54,1,0.0,2e-06,0.0
54,2,1e-06,7e-06,0.143
54,3,0.0,5e-06,0.0
54,4,0.0,6e-06,0.0
54,5,0.0,9e-06,0.0
54,6,0.0,1.2e-05,0.0
54,7,1e-06,9e-06,0.111
54,8,0.0,1.3e-05,0.0
54,9,1e-06,1.2e-05,0.083
54,10,0.0,1.2e-05,0.0
55,1,0.0,3e-06,0.0
55,2,0.0,5e-06,0.0
55,3,0.0,5e-06,0.0
55,4,0.0,5e-06,0.0
55,5,0.0,5e-06,0.0
55,6,1e-06,1.1e-05,0.091
55,7,0.0,1.1e-05,0.0
55,8,1e-06,1.3e-05,0.077
55,9,0.0,1.2e-05,0.0
55,10,0.0,1e-05,0.0
56,1,0.0,2e-06,0.0
56,2,1e-06,5e-06,0.2
56,3,0.0,5e-06,0.0
56,4,1e-06,6e-06,0.167
56,5,0.0,6e-06,0.0
56,6,1e-06,1.1e-05,0.091
56,7,0.0,1e-05,0.0
56,8,1e-06,1.1e-05,0.091
56,9,0.0,1.3e-05,0.0
56,10,0.0,1.2e-05,0.0
57,1,0.0,3e-06,0.0
57,2,0.0,5e-06,0.0
57,3,0.0,1e-05,0.0
57,4,0.0,5e-06,0.0
57,5,0.0,1e-05,0.0
57,6,0.0,1.2e-05,0.0
57,7,0.0,8e-06,0.0
57,8,0.0,1.7e-05,0.0
57,9,1e-06,1e-05,0.1
57,10,0.0,1.5e-05,0.0
58,1,1e-06,3e-06,0.333
58,2,0.0,6e-06,0.0
58,3,0.0,5e-06,0.0
58,4,0.0,1.5e-05,0.0
58,5,0.0,6e-06,0.0
58,6,0.0,1e-05,0.0
58,7,0.0,1.3e-05,0.0
58,8,1e-06,1.2e-05,0.083
58,9,0.0,1.1e-05,0.0
58,10,0.0,1.4e-05,0.0
59,1,0.0,3e-06,0.0
59,2,0.0,8e-06,0.0
59,3,0.0,5e-06,0.0
59,4,0.0,5e-06,0.0
59,5,0.0,7e-06,0.0
59,6,0.0,1e-05,0.0
59,7,1e-06,1.3e-05,0.077
59,8,0.0,1.9e-05,0.0
59,9,1e-06,1.3e-05,0.077
59,10,0.0,1.5e-05,0.0
60,1,0.0,5e-06,0.0
60,2,0.0,5e-06,0.0
60,3,1e-06,5e-06,0.2
60,4,0.0,1.5e-05,0.0
60,5,0.0,6e-06,0.0
60,6,1e-06,1.2e-05,0.083
60,7,0.0,1e-05,0.0
60,8,0.0,1.6e-05,0.0
60,9,0.0,1e-05,0.0
60,10,0.0,1.3e-05,0.0
61,1,0.0,2e-06,0.0
61,2,0.0,7e-06,0.0
61,3,0.0,5e-06,0.0
61,4,0.0,5e-06,0.0
61,5,0.0,1.9e-05,0.0
61,6,0.0,1.1e-05,0.0
61,7,0.0,1.1e-05,0.0
61,8,0.0,1e-05,0.0
61,9,0.0,1.6e-05,0.0
61,10,0.0,1.3e-05,0.0
62,1,1e-06,3e-06,0.333
62,2,0.0,1e-05,0.0
62,3,0.0,5e-06,0.0
62,4,0.0,1.4e-05,0.0
62,5,0.0,9e-06,0.0
62,6,0.0,1.2e-05,0.0
62,7,1e-06,1.2e-05,0.083
62,8,1e-06,1e-05,0.1
62,9,1e-06,1e-05,0.1
62,10,1e-06,1.3e-05,0.077
63,1,1e-06,2e-06,0.5
63,2,0.0,7e-06,0.0
63,3,0.0,4e-06,0.0
63,4,0.0,5e-06,0.0
63,5,1e-06,2.9e-05,0.034
63,6,0.0,1.4e-05,0.0
63,7,0.0,1.2e-05,0.0
63,8,0.0,1e-05,0.0
63,9,0.0,1.1e-05,0.0
63,10,0.0,1.7e-05,0.0
64,1,1e-06,2e-06,0.5
64,2,0.0,5e-06,0.0
64,3,0.0,4e-06,0.0
64,4,0.0,8e-06,0.0
64,5,0.0,9e-06,0.0
64,6,0.0,1e-05,0.0
64,7,0.0,1.2e-05,0.0
64,8,0.0,1.1e-05,0.0
64,9,1e-06,1.3e-05,0.077
64,10,0.0,1.3e-05,0.0
65,1,0.0,2e-06,0.0
65,2,1e-06,9e-06,0.111
65,3,0.0,4e-06,0.0
65,4,0.0,9e-06,0.0
65,5,0.0,1.5e-05,0.0
65,6,0.0,1.1e-05,0.0
65,7,0.0,1e-05,0.0
65,8,0.0,1.8e-05,0.0
65,9,0.0,1.2e-05,0.0
65,10,0.0,1.5e-05,0.0
66,1,0.0,4e-06,0.0
66,2,0.0,3e-06,0.0
66,3,0.0,4e-06,0.0
66,4,0.0,6e-06,0.0
66,5,0.0,5e-06,0.0
66,6,1e-06,1.1e-05,0.091
66,7,0.0,8e-06,0.0
66,8,0.0,1.1e-05,0.0
66,9,0.0,1.3e-05,0.0
66,10,0.0,1.4e-05,0.0
67,1,0.0,4e-06,0.0
67,2,0.0,3e-06,0.0
67,3,0.0,6e-06,0.0
67,4,0.0,6e-06,0.0
67,5,0.0,3.5e-05,0.0
67,6,0.0,1.1e-05,0.0
67,7,0.0,1.3e-05,0.0
67,8,0.0,1.2e-05,0.0
67,9,0.0,1.3e-05,0.0
67,10,0.0,1.2e-05,0.0
68,1,0.0,2e-06,0.0
68,2,0.0,3e-06,0.0
68,3,0.0,5e-06,0.0
68,4,0.0,1e-05,0.0
68,5,0.0,9e-06,0.0
68,6,0.0,1e-05,0.0
68,7,0.0,1.3e-05,0.0
68,8,0.0,1.6e-05,0.0
68,9,0.0,1.2e-05,0.0
68,10,0.0,1.2e-05,0.0
69,1,0.0,3e-06,0.0
69,2,0.0,4e-06,0.0
